Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Score_Test
Random Forest,1.0,0.9479166666666666,0.9477253928866833,0.9479166666666666,0.9477051802633197
SVM,0.8333333333333334,0.796875,0.7959189670548134,0.796875,0.7957699389090193
KNN,0.79296875,0.7604166666666666,0.7834145021645021,0.7604166666666666,0.7590611444778111
