Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Score_Test
Random Forest,1.0,0.9635416666666666,0.9637289984503711,0.9635416666666666,0.9632830788804071
SVM,0.87890625,0.8333333333333334,0.8331540557706886,0.8333333333333334,0.8322506273325945
KNN,0.8606770833333334,0.8125,0.8095716894343896,0.8125,0.809727114990273
