Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Wav_LL_mean,Wav_LL_std,Wav_LH_L2_mean,Wav_LH_L2_std,Wav_HL_L2_mean,Wav_HL_L2_std,Wav_HH_L2_mean,Wav_HH_L2_std,Wav_LH_L1_mean,Wav_LH_L1_std,Wav_HL_L1_mean,Wav_HL_L1_std,Wav_HH_L1_mean,Wav_HH_L1_std
IMG_0852_flipV.jpg,tungro,1454.296875,2172.0,1157.4609375,2172.0,0.9776351478639314,0.9665979761941377,0.9822000286423891,0.9665979761941377,5.703125,8.51764705882353,4.5390625,8.51764705882353,0.7725836846283702,0.812263757455741,0.7549581572132569,0.812263757455741,0.5049299961252884,0.4938150564336522,0.5093115938356041,0.4938150564336522,0.7105842639161724,0.7027197566837382,0.713660699377235,0.7027197566837382,0.9527367724017408,0.9295153642165968,0.9623836503635773,0.9295153642165968,0.7937622,35.32083,-0.9649658,35.874058,-0.14007568,15.366348,390.4065,473.40448,0.3112793,58.48947,1.6186523,79.74575,0.062255852,28.523716
IMG_0852_rot90.jpg,tungro,1157.4609375,2172.0,1454.296875,2172.0,0.9822000286423891,0.9665979761941377,0.9776351478639314,0.9665979761941377,4.5390625,8.51764705882353,5.703125,8.51764705882353,0.7549581572132569,0.812263757455741,0.7725836846283702,0.812263757455741,0.5093115938356041,0.4938150564336522,0.5049299961252884,0.4938150564336522,0.713660699377235,0.7027197566837382,0.7105842639161724,0.7027197566837382,0.9623836503635773,0.9295153642165968,0.9527367724017408,0.9295153642165968,-0.9649658,35.874058,0.7937622,35.320827,-0.14007568,15.366347,390.4065,473.40448,1.6186523,79.74575,0.3112793,58.489468,0.062255863,28.523716
IMG_0853_flipH.jpg,tungro,1338.75,1800.0,816.7968750000001,1804.0,0.9794120813213176,0.9723187648017717,0.9874389186633039,0.9722572509457754,5.25,7.0588235294117645,3.2031250000000004,7.074509803921568,0.7875951395344483,0.8142021077081789,0.7547878491175155,0.8144206118447912,0.4855749671287786,0.4784549338297561,0.4933358380978771,0.4783968284756063,0.6968320939285005,0.6917043688092162,0.7023786999175566,0.6916623659529311,0.9583453905633385,0.9440355845187488,0.9745857293615606,0.9439112191510127,0.6303406,27.47124,-0.81710815,34.27962,0.0077819824,12.949216,453.58063,488.21082,0.077819824,51.902065,-1.5097046,82.57793,-0.10894777,25.647974
IMG_0853_flipV.jpg,tungro,1336.7578125,1822.0,868.59375,1836.0,0.9794427181050657,0.9719804385937932,0.9866423622858549,0.9717651400978069,5.2421875,7.145098039215686,3.40625,7.2,0.7864238575412399,0.8143702120480498,0.7571893249398003,0.8151314514211199,0.48663131133082826,0.4791343008433896,0.4935868833689267,0.47893111090121343,0.6975896439389193,0.692195276524905,0.7025573879541277,0.6920484888367385,0.9583207761121121,0.9432369479608126,0.972917821736037,0.9428007883951985,-0.7548523,27.969236,0.8015442,34.68284,-0.038909912,13.5482855,448.91144,487.4593,-0.108947754,52.755257,1.789856,81.252014,-0.29571533,26.144604
IMG_0853_rot90.jpg,tungro,868.59375,1822.0,1336.7578125,1836.0,0.9866423622858549,0.9719804385937932,0.9794427181050657,0.9717651400978069,3.40625,7.145098039215686,5.2421875,7.2,0.7571893249398003,0.8143702120480498,0.7864238575412399,0.8151314514211199,0.4935868833689267,0.4791343008433896,0.48663131133082826,0.47893111090121343,0.7025573879541277,0.692195276524905,0.6975896439389193,0.6920484888367385,0.972917821736037,0.9432369479608126,0.9583207761121121,0.9428007883951985,0.8015442,34.68284,-0.7548523,27.969236,-0.038909912,13.5482855,448.91144,487.4593,1.789856,81.252014,-0.108947754,52.755257,-0.29571533,26.144602
IMG_0854_flipH.jpg,tungro,906.4453125,1308.0,870.5859375,1532.0,0.9860602633946423,0.9798849690892875,0.9866117255021069,0.9764401931535078,3.5546875,5.129411764705883,3.4140625,6.007843137254902,0.7181623415429139,0.743802515342363,0.7158304182752327,0.7567289150613762,0.5331864406493296,0.5263916892343629,0.5337228404114404,0.5230973149799983,0.7301961658686861,0.7255285585243099,0.7305633719339072,0.7232546681356424,0.9692320951478067,0.9556830871812357,0.9704492869881133,0.9480936464538633,-0.887146,30.52677,0.12451172,29.615736,-0.046691895,13.511592,352.36816,469.10938,0.7470703,56.307392,0.3112793,58.387596,-0.24902344,25.276802
IMG_0854_flipV.jpg,tungro,906.4453125,1310.0,892.5,1532.0,0.9860602633946423,0.9798542121612893,0.9862747208808784,0.9764401931535078,3.5546875,5.137254901960785,3.5,6.007843137254902,0.719083071818666,0.7448421707485195,0.7181786801240844,0.7576540721475175,0.5323082646623294,0.5254884310458773,0.53251679229443,0.5222235758553219,0.7295945892496253,0.7249058083957373,0.7297374817661691,0.7226503828652704,0.9692916168285067,0.9557005993218984,0.9697640534926835,0.948193372642098,0.9649658,30.751102,-0.12451172,29.447746,0.015563965,13.730195,353.83118,469.835,-0.56030273,55.457317,-0.6536865,57.390644,-0.12451172,24.235687
IMG_0854_rot90.jpg,tungro,892.5,1310.0,906.4453125,1532.0,0.9862747208808784,0.9798542121612893,0.9860602633946423,0.9764401931535078,3.5,5.137254901960785,3.5546875,6.007843137254902,0.7181786801240844,0.7448421707485195,0.719083071818666,0.7576540721475175,0.53251679229443,0.5254884310458773,0.5323082646623294,0.5222235758553219,0.7297374817661691,0.7249058083957373,0.7295945892496253,0.7226503828652704,0.9697640534926835,0.9557005993218984,0.9692916168285067,0.948193372642098,-0.12451172,29.447744,0.9649658,30.751099,0.015563965,13.730195,353.83118,469.835,-0.6536865,57.39064,-0.56030273,55.457317,-0.124511726,24.23569
IMG_0855_flipH.jpg,tungro,675.3515625,1218.0,763.0078125,1166.0,0.9896141303094147,0.9812690308491988,0.988266111824501,0.9820687109771477,2.6484375,4.776470588235294,2.9921875,4.572549019607843,0.6241631808173431,0.6593644362205315,0.6300314070919681,0.6562945076327527,0.6097027937534542,0.6006225685829587,0.6083845732973795,0.6013929420278865,0.780834677606889,0.7749984313422568,0.7799901110253767,0.7754952882048263,0.972669713507748,0.9508362125499055,0.969122419685745,0.95293515914055,-1.0816956,29.612995,0.10116577,24.009571,-0.07003784,10.774174,259.15558,429.5458,0.046691895,52.86807,-0.9182739,55.889206,0.015563961,21.571806
IMG_0855_flipV.jpg,tungro,697.265625,1234.0,778.9453125,1212.0,0.9892771256881863,0.9810229754252144,0.9880210175545167,0.9813613016331928,2.734375,4.83921568627451,3.0546875,4.752941176470588,0.6208375287784992,0.6554489357908739,0.6262649732504095,0.6541610804769229,0.6137035564934459,0.6047159825110886,0.6124759459064723,0.6050415871457476,0.7833923388018585,0.7776348645161743,0.7826084243773972,0.7778441920756031,0.9714576240252153,0.9496177671589431,0.9681140885538833,0.950515991731474,1.1750793,29.975773,-0.08560181,24.378723,-0.16342163,11.224216,254.70428,426.56186,0.2645874,51.459877,0.82489014,57.77614,0.077819824,22.384287
