Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Score_Test
Random Forest,1.0,0.9635416666666666,0.9637399281116181,0.9635416666666666,0.9633700367606721
SVM,0.8502604166666666,0.7760416666666666,0.7749514552943824,0.7760416666666666,0.7718696485786625
KNN,0.79296875,0.734375,0.7552698355611501,0.734375,0.7307626108679585
