Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Score_Test
Random Forest,1.0,0.78125,0.7861882728111175,0.78125,0.7805663472330139
SVM,0.7526041666666666,0.6770833333333334,0.6794849907525964,0.6770833333333334,0.6762255899510802
KNN,0.7291666666666666,0.5833333333333334,0.5956099276182636,0.5833333333333334,0.5773047214223684
