Model,Accuracy_Train,Accuracy_Test,Precision_Test,Recall_Test,F1_Score_Test
Random Forest,1.0,0.9635416666666666,0.9639216885118524,0.9635416666666666,0.9634506062413039
SVM,0.8893229166666666,0.8333333333333334,0.8330137791752946,0.8333333333333334,0.8324309458739408
KNN,0.8359375,0.828125,0.8311808358626157,0.828125,0.82627255247372
